base_currency_short_name,target_currency_short_name,binance_currency_pair_name,inr_conversion_charge,coindcx_name,target_currency_name,base_currency_name,step,min_quantity,symbol,ecode,max_leverage,max_leverage_short,pair
BTC,NULS,NULSBTC,,NULSBTC,Nuls,Bitcoin,1,1,NULSBTC,B,1,,B-NULS_BTC
BTC,STMX,STMXBTC,,STMXBTC,StormX,Bitcoin,1,1,STMXBTC,B,1,,B-STMX_BTC
ETH,BCPT,BCPTETH,,BCPTETH,BlockMason Credit Protocol,Ethereum,1,1,BCPTETH,B,1,,B-BCPT_ETH
ETH,DASH,DASHETH,,DASHETH,Dash,Ethereum,0.001,0.001,DASHETH,B,1,,B-DASH_ETH
USDT,AUDIO,AUDIOUSDT,,AUDIOUSDT,Audius,Tether,0.1,0.1,AUDIOUSDT,B,,,B-AUDIO_USDT
BNB,BRD,BRDBNB,,BRDBNB,Bread,Binance Coin,0.1,0.1,BRDBNB,B,,,B-BRD_BNB
USDT,ERD,ERDUSDT,,ERDUSDT,Elrond,Tether,1,1,ERDUSDT,B,3,,B-ERD_USDT
USDT,BNBBULL,BNBBULLUSDT,,BNBBULLUSDT,3X Long BNB Token,Tether,1.00E-05,1.00E-05,BNBBULLUSDT,B,3,,B-BNBBULL_USDT
BNB,YOYO,YOYOBNB,,YOYOBNB,Yoyow,Binance Coin,1,1,YOYOBNB,B,,,B-YOYO_BNB
BNB,AION,AIONBNB,,AIONBNB,AION,Binance Coin,1,1,AIONBNB,B,,,B-AION_BNB
INR,REQ,REQINR,,REQINR,Request,Indian Rupee,0.1,0.1,REQINR,B,,,B-REQ_INR
ETH,AST,ASTETH,,ASTETH,Airswap Token,Ethereum,1,1,ASTETH,B,3,,B-AST_ETH
BTC,MOD,MODBTC,,MODBTC,Modum,Bitcoin,0.01,0.01,MODBTC,B,4,,B-MOD_BTC
BNB,LSK,LSKBNB,,LSKBNB,Lisk Coin,Binance Coin,0.1,0.1,LSKBNB,B,,,B-LSK_BNB
BNB,USDC,USDCBNB,,USDCBNB,USD Coin,Binance Coin,0.1,0.1,USDCBNB,B,,,B-USDC_BNB
USDT,BEAR,BEARUSDT,,BEARUSDT,3x Short Bitcoin Token,Tether,1.00E-05,1.00E-05,BEARUSDT,B,2,,B-BEAR_USDT
ETH,STORJ,STORJETH,,STORJETH,Storj,Ethereum,1,1,STORJETH,B,1,,B-STORJ_ETH
ETH,REQ,REQETH,,REQETH,Request,Ethereum,1,1,REQETH,B,5,,B-REQ_ETH
ETH,SALT,SALTETH,,SALTETH,Salt,Ethereum,0.01,1,SALTETH,B,5,,B-SALT_ETH
BTC,NCASH,NCASHBTC,,NCASHBTC,Nucleus Vision,Bitcoin,1,1,NCASHBTC,B,2,,B-NCASH_BTC
TUSD,ZEC,ZECTUSD,,ZECTUSD,ZCash,True USD,1.00E-05,1.00E-05,ZECTUSD,B,,,B-ZEC_TUSD
ETH,SNM,SNMETH,,SNMETH,Sonm,Ethereum,1,1,SNMETH,B,5,,B-SNM_ETH
INR,CHZ,,,CHZINR,Chiliz,Indian Rupee,1,1,CHZINR,I,,,I-CHZ_INR
USDT,BSV,BSVUSDT,,BSVUSDT,Bitcoin SV,Tether,0.0001,0.001,BSVUSDT,H,,,H-BSV_USDT
BTC,CRO,CROBTC,,CROBTC,Crypto.com Coin,Bitcoin,0.01,1,CROBTC,H,,,H-CRO_BTC
BTC,AKRO,AKROBTC,,AKROBTC,Akropolis,Bitcoin,0.01,1,AKROBTC,H,,,H-AKRO_BTC
BTC,SRN,SRNBTC,,SRNBTC,Sirin Labs Token,Bitcoin,0.01,0.01,SRNBTC,H,,,H-SRN_BTC
ETH,FRONT,FRONTETH,,FRONTETH,Frontier,Ethereum,0.01,0.1,FRONTETH,H,,,H-FRONT_ETH
USDT,AKRO,AKROUSDT,,AKROUSDT,Akropolis,Tether,0.01,1,AKROUSDT,H,,,H-AKRO_USDT
INR,XLM,XLMINR,,XLMINR,Stellar Lumens,Indian Rupee,1,5,XLMINR,I,,,I-XLM_INR
ETH,JST,JSTETH,,JSTETH,JUST,Ethereum,0.01,1,JSTETH,H,,,H-JST_ETH
BTC,LUN,LUNBTC,,LUNBTC,Lunyr,Bitcoin,1,0,LUNBTC,H,,,H-LUN_BTC
ETH,YFI,YFIETH,,YFIETH,yearn.finance,Ethereum,1.00E-06,1.00E-05,YFIETH,H,,,H-YFI_ETH
USDT,ELA,ELAUSDT,,ELAUSDT,Elastos,Tether,0.01,0.01,ELAUSDT,H,,,H-ELA_USDT
BTC,SWFTC,SWFTCBTC,,SWFTCBTC,SwftCoin,Bitcoin,0.01,1,SWFTCBTC,H,,,H-SWFTC_BTC
INR,TRX,TRXINR,,TRXINR,Tron,Indian Rupee,1,10,TRXINR,I,,,I-TRX_INR
ETH,BTS,BTSETH,,BTSETH,Bitshares,Ethereum,0.01,0.1,BTSETH,H,,,H-BTS_ETH
BTC,AE,AEBTC,,AEBTC,Aeternity,Bitcoin,0.01,0.01,AEBTC,H,,,H-AE_BTC
USDT,CRO,CROUSDT,,CROUSDT,Crypto.com Coin,Tether,0.01,1,CROUSDT,H,0,,H-CRO_USDT
BTC,OGN,OGNBTC,,OGNBTC,Origin Protocol,Bitcoin,1,1,OGNBTC,B,1,,B-OGN_BTC
ETH,SNT,SNTETH,,SNTETH,Status,Ethereum,1,1,SNTETH,B,1,,B-SNT_ETH
ETH,NPXS,NPXSETH,,NPXSETH,Pundi X,Ethereum,1,1,NPXSETH,B,1,,B-NPXS_ETH
USDT,CTSI,CTSIUSDT,,CTSIUSDT,Cartesi,Tether,0.1,0.1,CTSIUSDT,B,2,,B-CTSI_USDT
BTC,ENJ,ENJBTC,,ENJBTC,Enjin Coin,Bitcoin,1,1,ENJBTC,B,2,,B-ENJ_BTC
USDT,LINK,LINKUSDT,,LINKUSDT,Chainlink,Tether,0.01,0.01,LINKUSDT,B,8,3,B-LINK_USDT
BTC,GLM,GLMBTC,,GLMBTC,Golem,Bitcoin,1,1,GLMBTC,B,,,B-GLM_BTC
TUSD,ADA,ADATUSD,,ADATUSD,Cardano,True USD,0.1,0.1,ADATUSD,B,,,B-ADA_TUSD
USDC,XRP,XRPUSDC,,XRPUSDC,Ripple,USD Coin,0.1,0.1,XRPUSDC,B,,,B-XRP_USDC
ETH,ELF,ELFETH,,ELFETH,Aelf,Ethereum,1,1,ELFETH,B,1,,B-ELF_ETH
USDT,ANKR,ANKRUSDT,,ANKRUSDT,Ankr,Tether,1,1,ANKRUSDT,B,4,,B-ANKR_USDT
USDT,THETA,THETAUSDT,,THETAUSDT,Theta Token,Tether,0.1,0.1,THETAUSDT,B,4,3,B-THETA_USDT
USDT,MFT,MFTUSDT,,MFTUSDT,Mainframe,Tether,1,1,MFTUSDT,B,2,,B-MFT_USDT
BTC,ZIL,ZILBTC,,ZILBTC,Zilliqa,Bitcoin,1,1,ZILBTC,B,4,2,B-ZIL_BTC
BTC,SUSHI,SUSHIBTC,,SUSHIBTC,Sushi,Bitcoin,0.01,0.01,SUSHIBTC,B,3,,B-SUSHI_BTC
ETH,SCRT,SCRTETH,,SCRTETH,Secret Network,Ethereum,0.01,0.01,SCRTETH,B,,,B-SCRT_ETH
BTC,UNI,UNIBTC,,UNIBTC,Uniswap,Bitcoin,0.1,0.1,UNIBTC,B,4,2,B-UNI_BTC
TUSD,USDC,USDCTUSD,,USDCTUSD,USD Coin,True USD,0.01,0.01,USDCTUSD,B,,,B-USDC_TUSD
BNB,BTS,BTSBNB,,BTSBNB,Bitshares,Binance Coin,1,1,BTSBNB,B,,,B-BTS_BNB
BNB,GO,GOBNB,,GOBNB,Gochain,Binance Coin,1,1,GOBNB,B,,,B-GO_BNB
USDT,LEND,LENDUSDT,,LENDUSDT,ETHLend,Tether,0.1,0.1,LENDUSDT,B,6,,B-LEND_USDT
BTC,AE,AEBTC,,AEBTC,Aeternity,Bitcoin,1,1,AEBTC,B,,,B-AE_BTC
BNB,NANO,NANOBNB,,NANOBNB,Nano,Binance Coin,0.1,0.1,NANOBNB,B,,,B-NANO_BNB
USDT,ETHBULL,ETHBULLUSDT,,ETHBULLUSDT,3x Long Ethereum Token,Tether,1.00E-06,1.00E-06,ETHBULLUSDT,B,2,,B-ETHBULL_USDT
BTC,DAI,DAIBTC,,DAIBTC,Dai,Bitcoin,1,1,DAIBTC,B,,,B-DAI_BTC
USDT,ZPAE,,,ZPAEUSDT,ZelaaPayAE,Tether,1,0,ZPAEUSDT,I,,,I-ZPAE_USDT
TUSD,TFUEL,TFUELTUSD,,TFUELTUSD,Theta Fuel,True USD,1,1,TFUELTUSD,B,,,B-TFUEL_TUSD
BNB,DCR,DCRBNB,,DCRBNB,Decred,Binance Coin,0.001,0.001,DCRBNB,B,,,B-DCR_BNB
BTC,ABT,ABTBTC,,ABTBTC,ArcBlock,Bitcoin,0.01,1,ABTBTC,H,,,H-ABT_BTC
TUSD,USDS,USDSTUSD,,USDSTUSD,Stable USD,True USD,0.01,0.01,USDSTUSD,B,,,B-USDS_TUSD
INR,INR,INRINR,,INRINR,Indian Rupee,Indian Rupee,0.0001,0.0001,INRINR,I,,,I-INR_INR
ETH,BTG,BTGETH,,BTGETH,Bitcoin Gold,Ethereum,0.01,0.01,BTGETH,B,5,,B-BTG_ETH
ETH,BTS,BTSETH,,BTSETH,Bitshares,Ethereum,1,1,BTSETH,B,5,,B-BTS_ETH
INR,SNT,SNTINR,,SNTINR,Status,Indian Rupee,1,1,SNTINR,B,,,B-SNT_INR
BNB,CVC,CVCBNB,,CVCBNB,Civic,Binance Coin,1,1,CVCBNB,B,,,B-CVC_BNB
BNB,APPC,APPCBNB,,APPCBNB,AppCoins,Binance Coin,1,1,APPCBNB,B,,,B-APPC_BNB
BTC,BTT,BTTBTC,,BTTBTC,BitTorrent,Bitcoin,1,1,BTTBTC,B,1,1,B-BTT_BTC
TUSD,BAT,BATTUSD,,BATTUSD,Basic Attention Token,True USD,0.01,0.01,BATTUSD,B,,,B-BAT_TUSD
BTC,ARN,ARNBTC,,ARNBTC,Aeron,Bitcoin,1,1,ARNBTC,B,3,,B-ARN_BTC
ETH,STRAT,STRATETH,,STRATETH,Stratis,Ethereum,0.01,0.01,STRATETH,B,4,,B-STRAT_ETH
ETH,DNT,DNTETH,,DNTETH,district0x,Ethereum,1,1,DNTETH,B,5,,B-DNT_ETH
BNB,PAX,PAXBNB,,PAXBNB,Paxos,Binance Coin,0.1,0.1,PAXBNB,B,,,B-PAX_BNB
ETH,ARDR,ARDRETH,,ARDRETH,Ardor,Ethereum,1,1,ARDRETH,B,5,,B-ARDR_ETH
BTC,WAX,WAXBTC,,WAXBTC,Wax,Bitcoin,0.0001,0.01,WAXBTC,H,,,H-WAX_BTC
BTC,IVY,IVYBTC,,IVYBTC,IVY,Bitcoin,100,100,IVYBTC,HB,,,HB-IVY_BTC
TUSD,PAX,PAXTUSD,,PAXTUSD,Paxos,True USD,0.01,0.01,PAXTUSD,B,,,B-PAX_TUSD
USDT,BCHSV,BCHSVUSDT,,BCHSVUSDT,Bitcoin Cash SV,Tether,1.00E-05,1.00E-05,BCHSVUSDT,B,3,,B-BCHSV_USDT
BNB,SYS,SYSBNB,,SYSBNB,Syscoin,Binance Coin,1,1,SYSBNB,B,,,B-SYS_BNB
ETH,PHX,PHXETH,,PHXETH,Red Pulse Phoenix,Ethereum,1,1,PHXETH,B,5,,B-PHX_ETH
TUSD,NEO,NEOTUSD,,NEOTUSD,NEO,True USD,0.001,0.001,NEOTUSD,B,,,B-NEO_TUSD
BTC,TUSD,TUSDBTC,,TUSDBTC,True USD,Bitcoin,1,1,TUSDBTC,B,4,,B-TUSD_BTC
BTC,DBC,DBCBTC,,DBCBTC,DeepBrain Chain,Bitcoin,0.01,0.1,DBCBTC,H,,,H-DBC_BTC
USDT,FRONT,FRONTUSDT,,FRONTUSDT,Frontier,Tether,0.0001,0.1,FRONTUSDT,H,,,H-FRONT_USDT
BTC,MLN,MLNBTC,,MLNBTC,Melon,Bitcoin,0.0001,0.001,MLNBTC,H,,,H-MLN_BTC
BTC,ELA,ELABTC,,ELABTC,Elastos,Bitcoin,0.01,1,ELABTC,H,,,H-ELA_BTC
ETH,GXC,GXCETH,,GXCETH,GXChain,Ethereum,0.0001,0.0001,GXCETH,H,,,H-GXC_ETH
INR,LTC,LTCINR,,LTCINR,Litecoin,Indian Rupee,0.0001,0.0001,LTCINR,I,,,I-LTC_INR
BTC,NIM,NIMBTC,,NIMBTC,Nim,Bitcoin,100,500,NIMBTC,HB,,,HB-NIM_BTC
ETH,SNX,SNXETH,,SNXETH,Synthetix Network Token,Ethereum,0.01,0.01,SNXETH,H,,,H-SNX_ETH
USDT,FIRO,FIROUSDT,,FIROUSDT,Firo,Tether,0.001,0.001,FIROUSDT,B,,,B-FIRO_USDT
BTC,ATOM,ATOMBTC,,ATOMBTC,Cosmos,Bitcoin,0.01,0.01,ATOMBTC,B,4,2,B-ATOM_BTC
USDC,BNB,BNBUSDC,,BNBUSDC,Binance Coin,USD Coin,0.01,0.01,BNBUSDC,B,,,B-BNB_USDC
BTC,EOS,EOSBTC,,EOSBTC,EOS,Bitcoin,0.01,0.01,EOSBTC,B,4,4,B-EOS_BTC
USDT,CELR,CELRUSDT,,CELRUSDT,Celer,Tether,0.1,0.1,CELRUSDT,B,1,,B-CELR_USDT
ETH,NCASH,NCASHETH,,NCASHETH,Nucleus Vision,Ethereum,1,1,NCASHETH,B,2,,B-NCASH_ETH
BTC,AION,AIONBTC,,AIONBTC,AION,Bitcoin,1,1,AIONBTC,B,2,,B-AION_BTC
ETH,ZIL,ZILETH,,ZILETH,Zilliqa,Ethereum,1,1,ZILETH,B,1,,B-ZIL_ETH
ETH,EOS,EOSETH,,EOSETH,EOS,Ethereum,0.01,0.01,EOSETH,B,4,,B-EOS_ETH
USDT,ALGO,ALGOUSDT,,ALGOUSDT,Algorand,Tether,0.01,0.01,ALGOUSDT,B,6,,B-ALGO_USDT
USDT,NMR,NMRUSDT,,NMRUSDT,Numeraire,Tether,0.001,0.001,NMRUSDT,B,2,,B-NMR_USDT
BTC,DASH,DASHBTC,,DASHBTC,Dash,Bitcoin,0.001,0.001,DASHBTC,B,4,,B-DASH_BTC
USDT,NKN,NKNUSDT,,NKNUSDT,NKN,Tether,0.1,0.1,NKNUSDT,B,1,,B-NKN_USDT
BTC,GTO,GTOBTC,,GTOBTC,Gifto,Bitcoin,1,1,GTOBTC,B,1,,B-GTO_BTC
USDT,ONE,ONEUSDT,,ONEUSDT,Harmony,Tether,0.1,0.1,ONEUSDT,B,2,2,B-ONE_USDT
USDT,DUSK,DUSKUSDT,,DUSKUSDT,Dusk Network,Tether,0.01,0.01,DUSKUSDT,B,4,,B-DUSK_USDT
BTC,STX,STXBTC,,STXBTC,Blockstack,Bitcoin,1,1,STXBTC,B,,,B-STX_BTC
BTC,DOGE,DOGEBTC,,DOGEBTC,Doge,Bitcoin,1,1,DOGEBTC,B,2,,B-DOGE_BTC
USDT,TRB,TRBUSDT,,TRBUSDT,Tellor,Tether,0.001,0.001,TRBUSDT,B,2,,B-TRB_USDT
BNB,KAVA,KAVABNB,,KAVABNB,KAVA,Binance Coin,0.1,0.1,KAVABNB,B,,,B-KAVA_BNB
BTC,NKN,NKNBTC,,NKNBTC,NKN,Bitcoin,1,1,NKNBTC,B,1,,B-NKN_BTC
BTC,NAS,NASBTC,,NASBTC,Nebulas,Bitcoin,0.01,0.01,NASBTC,B,,,B-NAS_BTC
BTC,KMD,KMDBTC,,KMDBTC,Komodo,Bitcoin,0.01,0.01,KMDBTC,B,1,,B-KMD_BTC
USDT,DOCK,DOCKUSDT,,DOCKUSDT,Dock,Tether,1,1,DOCKUSDT,B,1,,B-DOCK_USDT
BTC,MATIC,MATICBTC,,MATICBTC,Matic Network,Bitcoin,1,1,MATICBTC,B,4,2,B-MATIC_BTC
BNB,ARPA,ARPABNB,,ARPABNB,ARPA,Binance Coin,1,1,ARPABNB,B,,,B-ARPA_BNB
ETH,POA,POAETH,,POAETH,POA Network,Ethereum,1,1,POAETH,B,5,,B-POA_ETH
BTC,HC,HCBTC,,HCBTC,HyperCash,Bitcoin,0.01,0.01,HCBTC,B,1,,B-HC_BTC
ETH,NULS,NULSETH,,NULSETH,Nuls,Ethereum,1,1,NULSETH,B,1,,B-NULS_ETH
ETH,TNT,TNTETH,,TNTETH,Tierion,Ethereum,1,1,TNTETH,B,4,,B-TNT_ETH
BNB,PIVX,PIVXBNB,,PIVXBNB,PIVX,Binance Coin,0.1,0.1,PIVXBNB,B,,,B-PIVX_BNB
BNB,QTUM,QTUMBNB,,QTUMBNB,Qtum,Binance Coin,0.1,0.1,QTUMBNB,B,,,B-QTUM_BNB
BTC,INS,INSBTC,,INSBTC,Insolar,Bitcoin,1,1,INSBTC,B,3,,B-INS_BTC
BNB,NAV,NAVBNB,,NAVBNB,NavCoin,Binance Coin,1,1,NAVBNB,B,,,B-NAV_BNB
BNB,REP,REPBNB,,REPBNB,Augur,Binance Coin,0.01,0.01,REPBNB,B,,,B-REP_BNB
ETH,ADX,ADXETH,,ADXETH,AdEx,Ethereum,1,1.00E-07,ADXETH,B,5,,B-ADX_ETH
BTC,STRAT,STRATBTC,,STRATBTC,Stratis,Bitcoin,1,1,STRATBTC,B,4,,B-STRAT_BTC
BTC,AST,ASTBTC,,ASTBTC,Airswap Token,Bitcoin,1,1,ASTBTC,B,4,,
ETH,STORM,STORMETH,,STORMETH,Storm,Ethereum,1,50,test,B,5,,test
BTC,BCHSV,BCHSVBTC,,BCHSVBTC,Bitcoin Cash SV,Bitcoin,0.001,0.001,BCHSVBTC,B,4,,B-BCHSV_BTC
BNB,POA,POABNB,,POABNB,POA Network,Binance Coin,1,1,POABNB,B,,,B-POA_BNB
ETH,SNGLS,SNGLSETH,,SNGLSETH,Singular DTV,Ethereum,1,1,SNGLSETH,B,5,,B-SNGLS_ETH
BNB,ARDR,ARDRBNB,,ARDRBNB,Ardor,Binance Coin,1,1,ARDRBNB,B,,,B-ARDR_BNB
BTC,DGD,DGDBTC,,DGDBTC,DigixDAO,Bitcoin,0.001,0.001,DGDBTC,B,4,,B-DGD_BTC
ETH,AE,AEETH,,AEETH,Aeternity,Ethereum,0.01,0.01,AEETH,B,1,,B-AE_ETH
BNB,STPT,STPTBNB,,STPTBNB,STP Network,Binance Coin,1,1,STPTBNB,B,3,,B-STPT_BNB
BTC,FREC,FRECBTC,,FRECBTC,Freyr Chain,Bitcoin,1000,1000,FRECBTC,HB,,,HB-FREC_BTC
BTC,ZEC,ZECBTC,,ZECBTC,ZCash,Bitcoin,0.001,0.001,ZECBTC,HB,,,HB-ZEC_BTC
ETH,APPC,APPCETH,,APPCETH,AppCoins,Ethereum,1,1,APPCETH,B,3,,B-APPC_ETH
ETH,VIBE,VIBEETH,,VIBEETH,VIBE,Ethereum,1,1,VIBEETH,B,5,,B-VIBE_ETH
ETH,ENG,ENGETH,,ENGETH,Enigma,Ethereum,1,1,ENGETH,B,3,,B-ENG_ETH
BTC,PHX,PHXBTC,,PHXBTC,Red Pulse Phoenix,Bitcoin,1,1,PHXBTC,B,4,,B-PHX_BTC
BTC,COCOS,COCOSBTC,,COCOSBTC,Cocos-BCX,Bitcoin,1,1,COCOSBTC,B,3,,B-COCOS_BTC
BTC,WINGS,WINGSBTC,,WINGSBTC,Wings,Bitcoin,1,1,WINGSBTC,B,4,,B-WINGS_BTC
BTC,ERD,ERDBTC,,ERDBTC,Elrond,Bitcoin,1,1,ERDBTC,B,2,,B-ERD_BTC
BTC,TNT,TNTBTC,,TNTBTC,Tierion,Bitcoin,1,1,TNTBTC,B,3,,B-TNT_BTC
BTC,MCO,MCOBTC,1,MCOBTC,MCO,Bitcoin,0.01,0.01,MCOBTC,B,4,,B-MCO_BTC
BTC,POE,POEBTC,,POEBTC,Po.et,Bitcoin,1,1,POEBTC,B,1,,B-POE_BTC
USDT,AST,ASTUSDT,,ASTUSDT,Airswap Token,Tether,0.0001,0.1,ASTUSDT,H,,,H-AST_USDT
USDT,CKB,CKBUSDT,,CKBUSDT,Nervos,Tether,0.01,1,CKBUSDT,H,,,H-CKB_USDT
BNB,AAVE,AAVEBNB,,AAVEBNB,Aave,Binance Coin,0.01,0.01,AAVEBNB,B,,,B-AAVE_BNB
BTC,BTG,BTGBTC,,BTGBTC,Bitcoin Gold,Bitcoin,0.01,0.01,BTGBTC,B,1,,B-BTG_BTC
BTC,NXS,NXSBTC,,NXSBTC,Nexus,Bitcoin,1,1,NXSBTC,B,1,,B-NXS_BTC
BTC,WAN,WANBTC,,WANBTC,Wanchain,Bitcoin,1,1,WANBTC,B,2,,B-WAN_BTC
BTC,ICX,ICXBTC,,ICXBTC,ICON,Bitcoin,1,1,ICXBTC,B,2,2,B-ICX_BTC
BTC,FTT,FTTBTC,,FTTBTC,FTX Token,Bitcoin,0.01,0.01,FTTBTC,B,2,,B-FTT_BTC
USDT,STX,STXUSDT,,STXUSDT,Blockstack,Tether,0.01,0.01,STXUSDT,B,4,,B-STX_USDT
BTC,FUN,FUNBTC,,FUNBTC,FunFair,Bitcoin,1,1,FUNBTC,B,1,,B-FUN_BTC
BTC,GRS,GRSBTC,,GRSBTC,Groestlcoin,Bitcoin,1,1,GRSBTC,B,1,,B-GRS_BTC
USDT,REN,RENUSDT,,RENUSDT,Republic Protocol,Tether,0.1,0.1,RENUSDT,B,2,3,B-REN_USDT
BTC,SKY,SKYBTC,,SKYBTC,Skycoin,Bitcoin,1,1,SKYBTC,B,1,,B-SKY_BTC
USDT,NBS,NBSUSDT,,NBSUSDT,New Bitshares,Tether,0.1,0.1,NBSUSDT,B,2,,B-NBS_USDT
BTC,APPC,APPCBTC,,APPCBTC,AppCoins,Bitcoin,1,1,APPCBTC,B,1,,B-APPC_BTC
BTC,FIRO,FIROBTC,,FIROBTC,Firo,Bitcoin,0.01,0.01,FIROBTC,B,,,B-FIRO_BTC
BTC,HIVE,HIVEBTC,,HIVEBTC,Hive,Bitcoin,1,1,HIVEBTC,B,1,,B-HIVE_BTC
USDT,PNT,PNTUSDT,,PNTUSDT,pNetwork Token,Tether,0.01,0.01,PNTUSDT,B,,,B-PNT_USDT
BTC,ADA,ADABTC,,ADABTC,Cardano,Bitcoin,1,1,ADABTC,B,6,3,B-ADA_BTC
USDC,BTC,BTCUSDC,,BTCUSDC,Bitcoin,USD Coin,1.00E-06,1.00E-06,BTCUSDC,B,,,B-BTC_USDC
BTC,COTI,COTIBTC,,COTIBTC,COTI,Bitcoin,1,1,COTIBTC,B,2,2,B-COTI_BTC
BTC,AST,ASTBTC,,ASTBTC,Airswap Token,Bitcoin,1,1,ASTBTC,B,2,,B-AST_BTC
USDT,EOS,EOSUSDT,,EOSUSDT,EOS,Tether,0.01,0.01,EOSUSDT,B,8,2,B-EOS_USDT
ETH,GLM,GLMETH,,GLMETH,Golem,Ethereum,1,1,GLMETH,B,,,B-GLM_ETH
BTC,BTS,BTSBTC,,BTSBTC,Bitshares,Bitcoin,1,1,BTSBTC,B,1,,B-BTS_BTC
ETH,QKC,QKCETH,,QKCETH,QuarkChain,Ethereum,1,1,QKCETH,B,1,,B-QKC_ETH
BTC,ONG,ONGBTC,,ONGBTC,Ontology Gas,Bitcoin,1,1,ONGBTC,B,2,,B-ONG_BTC
USDT,FET,FETUSDT,,FETUSDT,Fetch.AI,Tether,0.1,0.1,FETUSDT,B,2,,B-FET_USDT
USDT,QTUM,QTUMUSDT,,QTUMUSDT,Qtum,Tether,0.001,0.001,QTUMUSDT,B,6,2,B-QTUM_USDT
USDT,FIL,FILUSDT,,FILUSDT,Filecoin,Tether,0.01,0.01,FILUSDT,B,,,B-FIL_USDT
TUSD,BCH,BCHTUSD,,BCHTUSD,Bitcoin Cash,True USD,1.00E-05,1.00E-05,BCHTUSD,B,,,B-BCH_TUSD
ETH,KEY,KEYETH,,KEYETH,Selfkey,Ethereum,1,1,KEYETH,B,1,,B-KEY_ETH
ETH,ZEN,ZENETH,,ZENETH,Horizen,Ethereum,0.001,0.001,ZENETH,B,1,,B-ZEN_ETH
ETH,DENT,DENTETH,,DENTETH,Dent,Ethereum,1,1,DENTETH,B,1,,B-DENT_ETH
BNB,BEL,BELBNB,,BELBNB,Bella Protocol,Binance Coin,0.1,0.1,BELBNB,B,,,B-BEL_BNB
BTC,TWT,TWTBTC,,TWTBTC,Trust Wallet Token,Bitcoin,1,1,TWTBTC,B,,,B-TWT_BTC
BNB,TFUEL,TFUELBNB,,TFUELBNB,Theta Fuel,Binance Coin,1,1,TFUELBNB,B,,,B-TFUEL_BNB
ETH,ARNX,ARNXETH,,ARNXETH,AeronX,Ethereum,1,14,ARNXETH,HB,,,HB-ARNX_ETH
INR,STPT,,,STPTINR,STP Network,Indian Rupee,1,1,STPTINR,I,,,I-STPT_INR
BTC,IPL,IPLBTC,,IPLBTC,InsurePal,Bitcoin,100,100,IPLBTC,HB,,,HB-IPL_BTC
INR,ETN,,,ETNINR,Electroneum,Indian Rupee,1,0,ETNINR,I,,,I-ETN_INR
ETH,MLN,MLNETH,,MLNETH,Melon,Ethereum,0.0001,0.001,MLNETH,H,,,H-MLN_ETH
USDT,MLN,MLNUSDT,,MLNUSDT,Melon,Tether,0.0001,0.001,MLNUSDT,H,,,H-MLN_USDT
USDT,AE,AEUSDT,,AEUSDT,Aeternity,Tether,0.01,0.1,AEUSDT,H,,,H-AE_USDT
ETH,REN,RENETH,,RENETH,Republic Protocol,Ethereum,0.0001,1,RENETH,H,,,H-REN_ETH
USDT,NEST,NESTUSDT,,NESTUSDT,NEST Protocol,Tether,0.01,1,NESTUSDT,H,,,H-NEST_USDT
ETH,AR,ARETH,,ARETH,Arweave,Ethereum,0.01,0.001,ARETH,H,,,H-AR_ETH
ETH,BAL,BALETH,,BALETH,Balancer,Ethereum,0.01,0.001,BALETH,H,,,H-BAL_ETH
BTC,TT,TTBTC,,TTBTC,Thunder Token,Bitcoin,0.01,1,TTBTC,H,,,H-TT_BTC
USDT,FSN,FSNUSDT,,FSNUSDT,Fusion,Tether,0.0001,0.01,FSNUSDT,H,,,H-FSN_USDT
USDT,RSR,RSRUSDT,,RSRUSDT,Reserve Rights Token,Tether,0.01,1,RSRUSDT,H,,,H-RSR_USDT
BTC,RSR,RSRBTC,,RSRBTC,Reserve Rights Token,Bitcoin,0.01,1,RSRBTC,H,,,H-RSR_BTC
BTC,FRONT,FRONTBTC,,FRONTBTC,Frontier,Bitcoin,0.01,0.1,FRONTBTC,H,,,H-FRONT_BTC
BTC,CHR,CHRBTC,,CHRBTC,Chromia,Bitcoin,1,1,CHRBTC,B,2,2,B-CHR_BTC
BTC,AUDIO,AUDIOBTC,,AUDIOBTC,Audius,Bitcoin,1,1,AUDIOBTC,B,,,B-AUDIO_BTC
BTC,KNC,KNCBTC,,KNCBTC,Kyber Network,Bitcoin,1,1,KNCBTC,B,2,,B-KNC_BTC
ETH,XMR,XMRETH,,XMRETH,Monero,Ethereum,0.001,0.001,XMRETH,B,1,,B-XMR_ETH
USDT,XMR,XMRUSDT,,XMRUSDT,Monero,Tether,1.00E-05,1.00E-05,XMRUSDT,B,5,2,B-XMR_USDT
USDT,BNB,BNBUSDT,,BNBUSDT,Binance Coin,Tether,0.001,0.001,BNBUSDT,B,8,2,B-BNB_USDT
ETH,REP,REPETH,,REPETH,Augur,Ethereum,0.001,0.001,REPETH,B,1,,B-REP_ETH
ETH,LOOM,LOOMETH,,LOOMETH,Loom Network,Ethereum,1,1,LOOMETH,B,1,,B-LOOM_ETH
BTC,CELR,CELRBTC,,CELRBTC,Celer,Bitcoin,1,1,CELRBTC,B,2,,B-CELR_BTC
USDT,KNC,KNCUSDT,,KNCUSDT,Kyber Network,Tether,0.001,0.001,KNCUSDT,B,2,,B-KNC_USDT
